player_id,league_id,team_id,footballer_id,footballer_name_footballer,age,club,league_name,position,position_acronym,contract,market_value,height,feet,rating,potential,goalkeeping,mental,physical,technical,aerial-reach,command-of-area,communication,eccentricity,first-touch,handling,kicking,one-on-ones,passing,punching-tendency,reflexes,rushing-out-tendency,throwing,aggression,anticipation,bravery,composure,concentration,decisions,determination,flair,leadership,off-the-ball,positioning,teamwork,vision,work-rate,acceleration,agility,balance,jumping-reach,natural-fitness,pace,stamina,strength,free-kick-taking,penalty-taking,technique,corners,crossing,dribbling,finishing,heading,long-shots,long-throws,marking,tackling,num_players,avg_age,total_squad_value,country,num_legionnaires,avg_marketing_val,num_teams,players,avg_marketing_val_league,avg_age_league
17,tr1,1,17,Berkan Kutlu,26,Galatasaray,Süper Lig,Central Midfield,"DM, MC","Jun 30, 2026",€3.80m,"1,86m",left,61,65.0,0,65,70,50,0,0,0,0,55,0,0,0,60,0,0,0,0,65,65,65,60,80,60,70,30,50,55,60,85,60,85,60,60,65,65,75,60,90,65,30,30,65,40,40,55,40,50,60,40,65,60,28,26.7,€262.05m,Türkiye,16,€9.36m,19 teams,563,€2.04m,26.5
18,tr1,1,18,Eyüp Aydın,20,Galatasaray,Süper Lig,Central Midfield,"DM, MC","Jun 30, 2026",€1.10m,"1,81m",both,53,,0,60,55,55,0,0,0,0,65,0,0,0,70,0,0,0,0,80,55,65,65,55,55,80,60,55,40,60,60,70,60,55,55,60,50,60,55,65,45,70,50,70,70,50,55,35,40,55,30,55,65,28,26.7,€262.05m,Türkiye,16,€9.36m,19 teams,563,€2.04m,26.5
19,tr1,1,19,Gökdeniz Gürpüz,18,Galatasaray,Süper Lig,Central Midfield,MC,"Jun 30, 2026",€300k,"1,76m",right,43,,0,50,50,50,0,0,0,0,65,0,0,0,65,0,0,0,0,35,40,40,60,40,45,55,65,35,40,40,55,65,50,60,65,60,30,60,45,50,30,65,50,75,65,45,60,35,30,50,20,35,35,28,26.7,€262.05m,Türkiye,16,€9.36m,19 teams,563,€2.04m,26.5
20,tr1,1,20,Yunus Akgün,24,Galatasaray,Süper Lig,Left Winger,"AMR, AMC","Jun 30, 2026",€6.50m,"1,73m",left,64,73.0,0,55,60,50,0,0,0,0,65,0,0,0,65,0,0,0,0,60,50,60,65,50,50,60,80,40,60,30,65,65,65,75,90,55,30,70,70,60,35,50,50,75,55,60,75,55,45,60,25,20,20,28,26.7,€262.05m,Türkiye,16,€9.36m,19 teams,563,€2.04m,26.5
21,tr1,1,21,Barış Alper Yılmaz,24,Galatasaray,Süper Lig,Right Winger,AMR,"Jun 30, 2027",€21.00m,"1,86m",right,65,70.0,0,60,75,45,0,0,0,0,55,0,0,0,45,0,0,0,0,80,55,75,60,60,45,80,65,35,65,30,65,40,80,70,70,75,65,75,85,75,75,30,50,60,35,45,65,60,60,60,35,25,30,28,26.7,€262.05m,Türkiye,16,€9.36m,19 teams,563,€2.04m,26.5
22,tr1,1,22,Roland Sallai,27,Galatasaray,Süper Lig,Right Winger,"AMR, AMC","Jun 30, 2028",€14.00m,"1,83m",both,69,73.0,0,60,65,60,0,0,0,0,70,0,0,0,70,0,0,0,0,65,65,60,65,50,60,60,70,35,75,40,60,70,55,70,75,60,60,70,70,65,55,60,60,70,55,65,70,60,60,50,40,40,40,28,26.7,€262.05m,Türkiye,16,€9.36m,19 teams,563,€2.04m,26.5
23,tr1,1,23,Hakim Ziyech,31,Galatasaray,Süper Lig,Right Winger,"AMR, AMC","Jun 30, 2025",€7.00m,"1,80m",left,70,80.0,0,65,60,60,0,0,0,0,80,0,0,0,80,0,0,0,0,65,85,65,65,50,50,60,85,55,60,30,60,85,60,65,80,60,50,75,55,70,40,80,65,85,70,70,70,50,50,70,35,30,30,28,26.7,€262.05m,Türkiye,16,€9.36m,19 teams,563,€2.04m,26.5
24,tr1,1,24,Yusuf Demir,21,Galatasaray,Süper Lig,Right Winger,AMC,"Jun 30, 2026",€2.50m,"1,73m",left,55,,0,50,55,50,0,0,0,0,70,0,0,0,65,0,0,0,0,35,50,55,50,55,50,70,75,25,60,30,50,65,45,70,75,60,40,60,60,55,35,60,40,80,60,45,75,50,35,60,25,25,30,28,26.7,€262.05m,Türkiye,16,€9.36m,19 teams,563,€2.04m,26.5
25,tr1,1,25,Dries Mertens,37,Galatasaray,Süper Lig,Second Striker,"AMC, ST","Jun 30, 2025",€1.80m,"1,69m",right,65,83.0,0,75,50,55,0,0,0,0,85,0,0,0,70,0,0,0,0,70,85,65,75,65,80,85,75,80,75,45,80,75,70,60,75,60,30,75,40,40,35,65,80,85,65,65,65,55,35,65,15,20,30,28,26.7,€262.05m,Türkiye,16,€9.36m,19 teams,563,€2.04m,26.5
26,tr1,1,26,Victor Osimhen,25,Galatasaray,Süper Lig,Centre-Forward,ST,"Jun 30, 2025",€75.00m,"1,86m",right,85,88.0,0,65,80,50,0,0,0,0,70,0,0,0,60,0,0,0,0,75,75,55,75,65,65,75,70,50,95,25,60,55,65,85,75,80,75,75,95,65,75,25,70,70,20,35,65,90,90,60,20,20,35,28,26.7,€262.05m,Türkiye,16,€9.36m,19 teams,563,€2.04m,26.5
27,tr1,1,27,Mauro Icardi,31,Galatasaray,Süper Lig,Centre-Forward,ST,"Jun 30, 2026",€15.00m,"1,81m",right,78,87.0,0,70,65,55,0,0,0,0,75,0,0,0,70,0,0,0,0,50,90,60,90,60,75,70,80,60,85,35,65,70,55,55,60,70,60,70,55,65,65,40,85,70,20,50,60,90,95,55,10,25,25,28,26.7,€262.05m,Türkiye,16,€9.36m,19 teams,563,€2.04m,26.5
28,tr1,1,28,Michy Batshuayi,31,Galatasaray,Süper Lig,Centre-Forward,ST,"Jun 30, 2027",€8.00m,"1,85m",right,65,80.0,0,55,65,50,0,0,0,0,80,0,0,0,55,0,0,0,0,75,65,65,75,35,40,60,50,50,75,25,65,40,65,65,70,70,55,80,45,65,70,45,70,70,25,35,60,75,55,60,40,15,15,28,26.7,€262.05m,Türkiye,16,€9.36m,19 teams,563,€2.04m,26.5
29,tr1,2,29,Dominik Livakovic,29,Fenerbahce,Süper Lig,Goalkeeper,GK,"Jun 30, 2028",€11.00m,"1,88m",right,73,76.0,65,60,65,25,65,40,45,20,50,65,75,95,65,80,90,55,70,20,80,75,70,50,70,65,40,70,20,80,70,55,45,60,80,60,75,65,40,60,65,30,5,45,0,0,0,0,0,0,0,0,0,28,28.4,€226.13m,Türkiye,13,€8.08m,19 teams,563,€2.04m,26.5
30,tr1,2,30,İrfan Can Eğribayat,26,Fenerbahce,Süper Lig,Goalkeeper,GK,"Jun 30, 2027",€1.20m,"1,93m",right,60,68.0,60,50,60,30,75,55,40,75,50,65,70,70,60,50,80,60,40,70,55,70,60,50,55,45,5,60,5,50,55,40,60,60,75,45,80,65,30,45,65,20,10,55,0,0,0,0,0,0,0,0,0,28,28.4,€226.13m,Türkiye,13,€8.08m,19 teams,563,€2.04m,26.5
31,tr1,2,31,Ertuğrul Çetin,21,Fenerbahce,Süper Lig,Goalkeeper,GK,"Jun 30, 2025",€500k,"1,88m",right,53,,55,50,55,25,65,60,50,50,20,50,65,55,65,50,65,45,55,55,60,55,45,50,55,55,15,55,20,75,65,40,65,35,60,65,65,60,35,60,75,25,10,45,0,0,0,0,0,0,0,0,0,28,28.4,€226.13m,Türkiye,13,€8.08m,19 teams,563,€2.04m,26.5
32,tr1,2,32,Çağlar Söyüncü,28,Fenerbahce,Süper Lig,Centre-Back,DC,"Jun 30, 2027",€9.00m,"1,85m",both,68,81.0,0,60,70,50,0,0,0,0,60,0,0,0,50,0,0,0,0,60,70,80,55,55,50,80,45,50,35,70,65,60,70,70,60,75,80,65,60,65,75,25,40,50,20,35,55,35,70,40,40,75,80,28,28.4,€226.13m,Türkiye,13,€8.08m,19 teams,563,€2.04m,26.5
33,tr1,2,33,Alexander Djiku,30,Fenerbahce,Süper Lig,Centre-Back,DC,"Jun 30, 2026",€9.00m,"1,82m",right,68,68.0,0,70,65,45,0,0,0,0,60,0,0,0,65,0,0,0,0,80,75,85,70,80,65,70,65,60,50,70,65,65,60,65,60,75,65,75,45,65,75,30,40,60,15,25,40,25,60,20,30,75,75,28,28.4,€226.13m,Türkiye,13,€8.08m,19 teams,563,€2.04m,26.5
34,tr1,2,34,Rodrigo Becão,28,Fenerbahce,Süper Lig,Centre-Back,DC,"Jun 30, 2028",€8.00m,"1,91m",right,70,73.0,0,65,70,45,0,0,0,0,50,0,0,0,60,0,0,0,0,85,75,90,50,70,70,80,20,60,25,75,80,45,60,65,60,75,75,75,55,70,80,30,30,50,15,25,30,30,75,25,30,80,80,28,28.4,€226.13m,Türkiye,13,€8.08m,19 teams,563,€2.04m,26.5
35,tr1,2,35,Samet Akaydin,30,Fenerbahce,Süper Lig,Centre-Back,DC,"Jun 30, 2026",€2.20m,"1,90m",right,63,63.0,0,60,65,45,0,0,0,0,40,0,0,0,50,0,0,0,0,95,60,90,60,55,60,70,25,50,50,65,70,30,75,50,55,55,85,65,55,70,85,50,50,50,25,25,40,30,70,20,40,65,60,28,28.4,€226.13m,Türkiye,13,€8.08m,19 teams,563,€2.04m,26.5
36,tr1,2,36,Serdar Aziz,34,Fenerbahce,Süper Lig,Centre-Back,DC,"Jun 30, 2025",€350k,"1,83m",right,58,67.0,0,60,60,45,0,0,0,0,40,0,0,0,55,0,0,0,0,85,65,90,50,65,60,70,25,70,25,65,70,35,45,45,65,75,65,60,45,60,70,50,35,45,25,30,25,25,75,30,30,75,70,28,28.4,€226.13m,Türkiye,13,€8.08m,19 teams,563,€2.04m,26.5
37,tr1,2,37,Jayden Oosterwolde,23,Fenerbahce,Süper Lig,Left-Back,DL,"Jun 30, 2027",€15.00m,"1,89m",left,63,75.0,0,60,75,50,0,0,0,0,60,0,0,0,60,0,0,0,0,70,60,80,55,45,50,80,35,45,50,60,70,55,75,65,60,70,75,75,90,75,75,35,20,55,45,55,40,25,70,50,45,65,70,28,28.4,€226.13m,Türkiye,13,€8.08m,19 teams,563,€2.04m,26.5
38,tr1,2,38,Filip Kostić,32,Fenerbahce,Süper Lig,Left-Back,"WBL, ML, AML","Jun 30, 2025",€6.50m,"1,84m",left,73,78.0,0,60,70,60,0,0,0,0,60,0,0,0,70,0,0,0,0,65,60,70,70,55,55,75,50,35,60,65,75,65,70,75,70,80,50,80,75,80,65,45,60,65,75,90,60,45,30,65,50,50,45,28,28.4,€226.13m,Türkiye,13,€8.08m,19 teams,563,€2.04m,26.5
39,tr1,2,39,Levent Mercan,23,Fenerbahce,Süper Lig,Left-Back,"DL, WBL","Jun 30, 2028",€2.60m,"1,76m",left,60,,0,60,55,55,0,0,0,0,65,0,0,0,70,0,0,0,0,55,65,60,60,60,55,70,45,65,55,60,65,65,70,70,60,50,35,50,50,60,55,40,45,65,60,55,55,50,35,55,50,65,65,28,28.4,€226.13m,Türkiye,13,€8.08m,19 teams,563,€2.04m,26.5
40,tr1,2,40,Bright Osayi-Samuel,26,Fenerbahce,Süper Lig,Right-Back,"DR, WBR","Jun 30, 2025",€8.00m,"1,75m",right,65,68.0,0,55,70,50,0,0,0,0,60,0,0,0,55,0,0,0,0,60,55,75,60,60,40,75,60,55,50,40,75,40,55,70,80,75,40,60,85,75,65,50,60,60,50,30,65,40,40,40,40,65,60,28,28.4,€226.13m,Türkiye,13,€8.08m,19 teams,563,€2.04m,26.5
41,tr1,2,41,Mert Müldür,25,Fenerbahce,Süper Lig,Right-Back,DR,"Jun 30, 2027",€7.00m,"1,84m",right,63,70.0,0,60,65,45,0,0,0,0,65,0,0,0,60,0,0,0,0,70,60,75,55,45,60,80,50,50,65,60,65,55,65,70,65,75,60,55,65,75,65,30,20,65,20,50,60,30,60,30,50,55,65,28,28.4,€226.13m,Türkiye,13,€8.08m,19 teams,563,€2.04m,26.5
42,tr1,2,42,Sofyan Amrabat,28,Fenerbahce,Süper Lig,Defensive Midfield,"DM, MC","Jun 30, 2025",€22.00m,"1,85m",right,72,78.0,0,70,70,50,0,0,0,0,65,0,0,0,70,0,0,0,0,90,75,70,75,70,70,75,60,60,60,65,75,65,85,65,65,80,45,75,70,75,70,30,65,65,50,30,70,35,30,50,20,60,75,28,28.4,€226.13m,Türkiye,13,€8.08m,19 teams,563,€2.04m,26.5
43,tr1,2,43,İsmail Yüksek,25,Fenerbahce,Süper Lig,Defensive Midfield,DM,"Jun 30, 2027",€14.00m,"1,83m",right,65,70.0,0,70,65,55,0,0,0,0,40,0,0,0,65,0,0,0,0,85,75,85,40,60,50,85,65,55,55,60,80,65,85,65,65,75,60,75,40,80,65,55,45,65,40,45,65,45,50,60,40,65,75,28,28.4,€226.13m,Türkiye,13,€8.08m,19 teams,563,€2.04m,26.5
44,tr1,2,44,Bartuğ Elmaz,21,Fenerbahce,Süper Lig,Defensive Midfield,"DM, MC","Jun 30, 2026",€1.50m,"1,79m",right,45,,0,50,45,50,0,0,0,0,65,0,0,0,70,0,0,0,0,60,50,45,65,45,50,15,70,30,45,40,65,70,55,45,55,40,45,45,40,55,40,60,45,65,60,55,35,35,30,60,30,45,45,28,28.4,€226.13m,Türkiye,13,€8.08m,19 teams,563,€2.04m,26.5
45,tr1,2,45,Fred,31,Fenerbahce,Süper Lig,Central Midfield,MC,"Jun 30, 2027",€15.00m,"1,69m",both,75,75.0,0,70,65,55,0,0,0,0,75,0,0,0,70,0,0,0,0,60,75,75,75,50,60,85,65,70,90,65,85,70,85,85,80,70,25,75,45,90,55,50,35,75,50,55,70,45,40,35,30,60,60,28,28.4,€226.13m,Türkiye,13,€8.08m,19 teams,563,€2.04m,26.5
46,tr1,2,46,Sebastian Szymański,25,Fenerbahce,Süper Lig,Attacking Midfield,"MC, AMC","Jun 30, 2027",€19.00m,"1,74m",left,70,75.0,0,70,60,65,0,0,0,0,80,0,0,0,65,0,0,0,0,75,80,70,80,55,75,85,70,65,80,50,85,60,80,70,75,60,35,80,45,85,40,65,60,80,80,65,50,65,40,85,40,60,60,28,28.4,€226.13m,Türkiye,13,€8.08m,19 teams,563,€2.04m,26.5
47,tr1,2,47,Mert Hakan Yandaş,30,Fenerbahce,Süper Lig,Attacking Midfield,"MC, AMC","Jun 30, 2026",€1.10m,"1,74m",right,60,65.0,0,65,60,55,0,0,0,0,55,0,0,0,70,0,0,0,0,85,60,80,55,55,40,85,60,75,65,60,80,60,70,65,60,70,40,65,40,75,65,60,50,70,65,35,65,50,50,65,40,50,45,28,28.4,€226.13m,Türkiye,13,€8.08m,19 teams,563,€2.04m,26.5
48,tr1,2,48,Allan Saint-Maximin,27,Fenerbahce,Süper Lig,Left Winger,"AMR, AML","Jun 30, 2025",€18.00m,"1,73m",right,75,80.0,0,55,70,50,0,0,0,0,80,0,0,0,60,0,0,0,0,35,55,45,60,55,60,55,95,50,65,30,50,65,50,80,85,65,35,70,80,65,60,55,60,80,65,65,95,50,25,50,20,10,15,28,28.4,€226.13m,Türkiye,13,€8.08m,19 teams,563,€2.04m,26.5
49,tr1,2,49,Oğuz Aydın,24,Fenerbahce,Süper Lig,Left Winger,"ML, AML","Jun 30, 2028",€5.50m,"1,83m",right,58,68.0,0,55,60,55,0,0,0,0,65,0,0,0,60,0,0,0,0,50,60,75,55,50,45,70,70,45,50,50,45,60,70,65,65,55,50,55,75,55,60,55,50,60,50,60,70,60,30,55,45,35,45,28,28.4,€226.13m,Türkiye,13,€8.08m,19 teams,563,€2.04m,26.5
50,tr1,2,50,İrfan Can Kahveci,29,Fenerbahce,Süper Lig,Right Winger,AMR,"Jun 30, 2025",€10.00m,"1,80m",left,65,69.0,0,65,60,65,0,0,0,0,80,0,0,0,70,0,0,0,0,50,70,80,85,60,70,70,65,60,70,35,60,80,65,45,60,75,50,60,45,65,60,90,70,85,80,70,65,60,55,80,40,30,30,28,28.4,€226.13m,Türkiye,13,€8.08m,19 teams,563,€2.04m,26.5
51,tr1,2,51,Cengiz Ünder,27,Fenerbahce,Süper Lig,Right Winger,AMR,"Jun 30, 2027",€10.00m,"1,73m",left,70,72.0,0,55,65,55,0,0,0,0,70,0,0,0,60,0,0,0,0,35,55,55,75,50,55,70,70,50,75,20,50,55,65,85,85,60,35,80,70,55,45,70,50,80,65,70,65,65,35,80,25,15,15,28,28.4,€226.13m,Türkiye,13,€8.08m,19 teams,563,€2.04m,26.5
52,tr1,2,52,Dusan Tadic,36,Fenerbahce,Süper Lig,Right Winger,"AML, ST","Jun 30, 2025",€3.20m,"1,81m",left,73,80.0,0,75,65,65,0,0,0,0,80,0,0,0,90,0,0,0,0,70,85,85,85,90,85,90,60,95,75,30,75,80,65,45,65,80,55,99,45,65,70,80,70,85,75,80,65,60,40,60,45,30,20,28,28.4,€226.13m,Türkiye,13,€8.08m,19 teams,563,€2.04m,26.5
53,tr1,2,53,Burak Kapacak,24,Fenerbahce,Süper Lig,Right Winger,AMR,"Jun 30, 2026",€275k,"1,80m",right,55,65.0,0,55,60,45,0,0,0,0,60,0,0,0,60,0,0,0,0,55,55,60,60,60,50,65,60,30,65,45,65,55,70,65,65,50,40,60,65,60,55,25,20,65,55,50,65,50,40,55,25,35,40,28,28.4,€226.13m,Türkiye,13,€8.08m,19 teams,563,€2.04m,26.5
54,tr1,2,54,Youssef En-Nesyri,27,Fenerbahce,Süper Lig,Centre-Forward,ST,"Jun 30, 2029",€22.00m,"1,88m",left,76,80.0,0,65,70,55,0,0,0,0,65,0,0,0,60,0,0,0,0,45,75,75,75,65,60,65,60,65,80,30,65,55,75,75,65,60,80,75,75,70,70,45,60,65,45,55,65,70,75,65,35,25,30,28,28.4,€226.13m,Türkiye,13,€8.08m,19 teams,563,€2.04m,26.5
55,tr1,2,55,Edin Dzeko,38,Fenerbahce,Süper Lig,Centre-Forward,ST,"Jun 30, 2025",€2.50m,"1,93m",right,73,84.0,0,70,70,55,0,0,0,0,80,0,0,0,75,0,0,0,0,40,80,75,60,55,80,95,60,99,80,40,90,70,80,45,35,99,90,99,35,60,90,40,65,80,20,50,55,75,85,55,35,40,35,28,28.4,€226.13m,Türkiye,13,€8.08m,19 teams,563,€2.04m,26.5
56,tr1,2,56,Cenk Tosun,33,Fenerbahce,Süper Lig,Centre-Forward,ST,"Jun 30, 2026",€1.70m,"1,83m",right,63,72.0,0,65,60,50,0,0,0,0,60,0,0,0,60,0,0,0,0,60,70,70,70,65,65,70,60,80,70,30,60,55,50,55,60,65,70,70,45,50,65,50,85,70,25,35,60,75,70,50,20,20,30,28,28.4,€226.13m,Türkiye,13,€8.08m,19 teams,563,€2.04m,26.5
57,tr1,3,57,Ersin Destanoğlu,23,Besiktas JK,Süper Lig,Goalkeeper,GK,"Jun 30, 2026",€2.00m,"1,95m",right,55,65.0,60,50,60,25,70,70,50,90,35,50,70,65,35,50,65,85,25,50,70,85,50,45,60,45,10,40,5,60,70,30,50,50,55,60,75,75,45,40,70,15,15,40,0,0,0,0,0,0,0,0,0,31,26.3,€139.48m,Türkiye,16,€4.50m,19 teams,563,€2.04m,26.5
58,tr1,3,58,Mert Günok,35,Besiktas JK,Süper Lig,Goalkeeper,GK,"Jun 30, 2025",€1.20m,"1,96m",right,68,69.0,60,60,50,40,60,70,60,35,50,70,80,80,65,15,75,60,60,40,80,60,80,80,75,80,50,60,5,70,40,60,40,35,65,50,60,70,30,35,60,45,10,60,0,0,0,0,0,0,0,0,0,31,26.3,€139.48m,Türkiye,16,€4.50m,19 teams,563,€2.04m,26.5
59,tr1,3,59,Emir Yaşar,18,Besiktas JK,Süper Lig,Goalkeeper,GK,"Jun 30, 2028",€175k,"1,90m",right,38,,45,40,45,25,50,60,25,40,25,60,30,60,25,25,70,60,60,40,45,50,55,50,45,80,5,5,5,50,35,20,45,35,70,40,50,70,30,40,40,30,10,30,0,0,0,0,0,0,0,0,0,31,26.3,€139.48m,Türkiye,16,€4.50m,19 teams,563,€2.04m,26.5
