player_id,footballer_id,footballer_name_player,rating,potential,position_acronym,goalkeeping,mental,physical,technical,aerial-reach,command-of-area,communication,eccentricity,first-touch,handling,kicking,one-on-ones,passing,punching-tendency,reflexes,rushing-out-tendency,throwing,aggression,anticipation,bravery,composure,concentration,decisions,determination,flair,leadership,off-the-ball,positioning,teamwork,vision,work-rate,acceleration,agility,balance,jumping-reach,natural-fitness,pace,stamina,strength,free-kick-taking,penalty-taking,technique,corners,crossing,dribbling,finishing,heading,long-shots,long-throws,marking,tackling,league_id,team_id,footballer_name_footballer,club,league_name,trikot_num,position,birthday,age,nationality_img_path,height,feet,contract,market_value,footballer_img_path,league_name_team,league_id_team,team_name,team_info_link,img_path,num_players,avg_age,num_legionnaires,avg_marketing_val,total_squad_value,league_name_league,league_logo_path,country,num_teams,players,foreign_players,avg_marketing_val_league,avg_age_league,most_valuable_player,total_market_value
11,11,Elias Jelert,63,75.0,"DR, WBR",0,65,65,50,0,0,0,0,65,0,0,0,70,0,0,0,0,75,60,75,60,55,60,75,65,20,70,50,70,65,75,75,70,65,40,75,75,75,35,10,25,65,55,55,65,45,40,45,20,50,60,tr1,1,Elias Jelert,Galatasaray,Süper Lig,24,Right-Back,"Jun 12, 2003",21,https://tmssl.akamaized.net//images/flagge/verysmall/39.png?lm=1520611569,"1,78m",right,"Jun 30, 2029",€8.00m,https://img.a.transfermarkt.technology/portrait/medium/646478-1662491413.jpg?lm=1,Süper Lig,tr1,Galatasaray,/galatasaray-istanbul/startseite/verein/141/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/141.png?lm=1406739071,28,26.7,16,€9.36m,€262.05m,Süper Lig,https://tmssl.akamaized.net//images/logo/header/tr1.png?lm=1723019495,Türkiye,19 teams,563,262,€2.04m,26.5,Victor Osimhen,€1.15bn
12,12,Kaan Ayhan,65,67.0,"DC, DM",0,65,60,55,0,0,0,0,60,0,0,0,70,0,0,0,0,70,70,65,75,70,75,80,40,80,50,70,80,60,55,40,50,70,60,70,50,65,70,50,45,60,35,45,40,35,85,50,35,65,65,tr1,1,Kaan Ayhan,Galatasaray,Süper Lig,23,Right-Back,"Nov 10, 1994",30,https://tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1520611569,"1,85m",right,"Jun 30, 2026",€4.80m,https://img.a.transfermarkt.technology/portrait/medium/119031-1701181677.png?lm=1,Süper Lig,tr1,Galatasaray,/galatasaray-istanbul/startseite/verein/141/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/141.png?lm=1406739071,28,26.7,16,€9.36m,€262.05m,Süper Lig,https://tmssl.akamaized.net//images/logo/header/tr1.png?lm=1723019495,Türkiye,19 teams,563,262,€2.04m,26.5,Victor Osimhen,€1.15bn
13,13,Lucas Torreira,75,78.0,DM,0,75,65,55,0,0,0,0,70,0,0,0,70,0,0,0,0,90,90,90,70,70,75,80,60,50,40,75,90,60,85,85,95,75,25,75,45,75,45,40,55,70,35,40,60,40,50,50,25,80,75,tr1,1,Lucas Torreira,Galatasaray,Süper Lig,34,Defensive Midfield,"Feb 11, 1996",28,https://tmssl.akamaized.net//images/flagge/verysmall/179.png?lm=1520611569,"1,66m",right,"Jun 30, 2026",€15.00m,https://img.a.transfermarkt.technology/portrait/medium/318077-1671110829.png?lm=1,Süper Lig,tr1,Galatasaray,/galatasaray-istanbul/startseite/verein/141/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/141.png?lm=1406739071,28,26.7,16,€9.36m,€262.05m,Süper Lig,https://tmssl.akamaized.net//images/logo/header/tr1.png?lm=1723019495,Türkiye,19 teams,563,262,€2.04m,26.5,Victor Osimhen,€1.15bn
14,14,Efe Akman,43,,"DM, MC",0,55,50,45,0,0,0,0,75,0,0,0,65,0,0,0,0,55,55,55,60,45,50,70,60,45,35,45,70,65,55,55,60,60,25,80,40,40,25,35,35,70,40,40,50,35,40,40,20,30,40,tr1,1,Efe Akman,Galatasaray,Süper Lig,83,Defensive Midfield,"Mar 20, 2006",18,https://tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1520611569,"1,75m",right,"Jun 30, 2028",€600k,https://img.a.transfermarkt.technology/portrait/medium/1016253-1688834724.png?lm=1,Süper Lig,tr1,Galatasaray,/galatasaray-istanbul/startseite/verein/141/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/141.png?lm=1406739071,28,26.7,16,€9.36m,€262.05m,Süper Lig,https://tmssl.akamaized.net//images/logo/header/tr1.png?lm=1723019495,Türkiye,19 teams,563,262,€2.04m,26.5,Victor Osimhen,€1.15bn
15,15,Gabriel Sara,69,75.0,"MC, AMC",0,65,65,65,0,0,0,0,70,0,0,0,80,0,0,0,0,55,65,65,70,60,70,75,65,55,65,40,70,75,70,70,65,65,55,75,65,70,65,70,60,70,70,60,70,60,70,70,55,40,55,tr1,1,Gabriel Sara,Galatasaray,Süper Lig,20,Central Midfield,"Jun 26, 1999",25,https://tmssl.akamaized.net//images/flagge/verysmall/26.png?lm=1520611569,"1,77m",left,"Jun 30, 2029",€20.00m,https://img.a.transfermarkt.technology/portrait/medium/553469-1731009174.jpg?lm=1,Süper Lig,tr1,Galatasaray,/galatasaray-istanbul/startseite/verein/141/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/141.png?lm=1406739071,28,26.7,16,€9.36m,€262.05m,Süper Lig,https://tmssl.akamaized.net//images/logo/header/tr1.png?lm=1723019495,Türkiye,19 teams,563,262,€2.04m,26.5,Victor Osimhen,€1.15bn
16,16,Kerem Demirbay,65,75.0,"DM, MC",0,65,60,60,0,0,0,0,75,0,0,0,80,0,0,0,0,75,55,60,70,55,65,60,65,70,50,55,65,75,65,45,65,60,50,60,60,65,55,75,60,80,80,65,55,45,35,70,30,55,65,tr1,1,Kerem Demirbay,Galatasaray,Süper Lig,8,Central Midfield,"Jul 3, 1993",31,https://tmssl.akamaized.net//images/flagge/verysmall/40.png?lm=1520612525,"1,83m",left,"Jun 30, 2026",€4.40m,https://img.a.transfermarkt.technology/portrait/medium/125858-1658913486.jpg?lm=1,Süper Lig,tr1,Galatasaray,/galatasaray-istanbul/startseite/verein/141/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/141.png?lm=1406739071,28,26.7,16,€9.36m,€262.05m,Süper Lig,https://tmssl.akamaized.net//images/logo/header/tr1.png?lm=1723019495,Türkiye,19 teams,563,262,€2.04m,26.5,Victor Osimhen,€1.15bn
17,17,Berkan Kutlu,61,65.0,"DM, MC",0,65,70,50,0,0,0,0,55,0,0,0,60,0,0,0,0,65,65,65,60,80,60,70,30,50,55,60,85,60,85,60,60,65,65,75,60,90,65,30,30,65,40,40,55,40,50,60,40,65,60,tr1,1,Berkan Kutlu,Galatasaray,Süper Lig,18,Central Midfield,"Jan 25, 1998",26,https://tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1520611569,"1,86m",left,"Jun 30, 2026",€3.80m,https://img.a.transfermarkt.technology/portrait/medium/469787-1671101403.png?lm=1,Süper Lig,tr1,Galatasaray,/galatasaray-istanbul/startseite/verein/141/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/141.png?lm=1406739071,28,26.7,16,€9.36m,€262.05m,Süper Lig,https://tmssl.akamaized.net//images/logo/header/tr1.png?lm=1723019495,Türkiye,19 teams,563,262,€2.04m,26.5,Victor Osimhen,€1.15bn
18,18,Eyüp Aydın,53,,"DM, MC",0,60,55,55,0,0,0,0,65,0,0,0,70,0,0,0,0,80,55,65,65,55,55,80,60,55,40,60,60,70,60,55,55,60,50,60,55,65,45,70,50,70,70,50,55,35,40,55,30,55,65,tr1,1,Eyüp Aydın,Galatasaray,Süper Lig,5,Central Midfield,"Aug 2, 2004",20,https://tmssl.akamaized.net//images/flagge/verysmall/40.png?lm=1520612525,"1,81m",both,"Jun 30, 2026",€1.10m,https://img.a.transfermarkt.technology/portrait/medium/605110-1692858797.png?lm=1,Süper Lig,tr1,Galatasaray,/galatasaray-istanbul/startseite/verein/141/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/141.png?lm=1406739071,28,26.7,16,€9.36m,€262.05m,Süper Lig,https://tmssl.akamaized.net//images/logo/header/tr1.png?lm=1723019495,Türkiye,19 teams,563,262,€2.04m,26.5,Victor Osimhen,€1.15bn
19,19,Gökdeniz Gürpüz,43,,MC,0,50,50,50,0,0,0,0,65,0,0,0,65,0,0,0,0,35,40,40,60,40,45,55,65,35,40,40,55,65,50,60,65,60,30,60,45,50,30,65,50,75,65,45,60,35,30,50,20,35,35,tr1,1,Gökdeniz Gürpüz,Galatasaray,Süper Lig,33,Central Midfield,"Feb 25, 2006",18,https://tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1520611569,"1,76m",right,"Jun 30, 2026",€300k,https://img.a.transfermarkt.technology/portrait/medium/884821-1698926798.jpg?lm=1,Süper Lig,tr1,Galatasaray,/galatasaray-istanbul/startseite/verein/141/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/141.png?lm=1406739071,28,26.7,16,€9.36m,€262.05m,Süper Lig,https://tmssl.akamaized.net//images/logo/header/tr1.png?lm=1723019495,Türkiye,19 teams,563,262,€2.04m,26.5,Victor Osimhen,€1.15bn
20,20,Yunus Akgün,64,73.0,"AMR, AMC",0,55,60,50,0,0,0,0,65,0,0,0,65,0,0,0,0,60,50,60,65,50,50,60,80,40,60,30,65,65,65,75,90,55,30,70,70,60,35,50,50,75,55,60,75,55,45,60,25,20,20,tr1,1,Yunus Akgün,Galatasaray,Süper Lig,11,Left Winger,"Jul 7, 2000",24,https://tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1520611569,"1,73m",left,"Jun 30, 2026",€6.50m,https://img.a.transfermarkt.technology/portrait/medium/396908-1671104289.png?lm=1,Süper Lig,tr1,Galatasaray,/galatasaray-istanbul/startseite/verein/141/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/141.png?lm=1406739071,28,26.7,16,€9.36m,€262.05m,Süper Lig,https://tmssl.akamaized.net//images/logo/header/tr1.png?lm=1723019495,Türkiye,19 teams,563,262,€2.04m,26.5,Victor Osimhen,€1.15bn
21,21,Barış Alper Yılmaz,65,70.0,AMR,0,60,75,45,0,0,0,0,55,0,0,0,45,0,0,0,0,80,55,75,60,60,45,80,65,35,65,30,65,40,80,70,70,75,65,75,85,75,75,30,50,60,35,45,65,60,60,60,35,25,30,tr1,1,Barış Alper Yılmaz,Galatasaray,Süper Lig,53,Right Winger,"May 23, 2000",24,https://tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1520611569,"1,86m",right,"Jun 30, 2027",€21.00m,https://img.a.transfermarkt.technology/portrait/medium/541537-1671104025.png?lm=1,Süper Lig,tr1,Galatasaray,/galatasaray-istanbul/startseite/verein/141/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/141.png?lm=1406739071,28,26.7,16,€9.36m,€262.05m,Süper Lig,https://tmssl.akamaized.net//images/logo/header/tr1.png?lm=1723019495,Türkiye,19 teams,563,262,€2.04m,26.5,Victor Osimhen,€1.15bn
22,22,Roland Sallai,69,73.0,"AMR, AMC",0,60,65,60,0,0,0,0,70,0,0,0,70,0,0,0,0,65,65,60,65,50,60,60,70,35,75,40,60,70,55,70,75,60,60,70,70,65,55,60,60,70,55,65,70,60,60,50,40,40,40,tr1,1,Roland Sallai,Galatasaray,Süper Lig,7,Right Winger,"May 22, 1997",27,https://tmssl.akamaized.net//images/flagge/verysmall/178.png?lm=1521635893,"1,83m",both,"Jun 30, 2028",€14.00m,https://img.a.transfermarkt.technology/portrait/medium/332798-1658413418.jpg?lm=1,Süper Lig,tr1,Galatasaray,/galatasaray-istanbul/startseite/verein/141/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/141.png?lm=1406739071,28,26.7,16,€9.36m,€262.05m,Süper Lig,https://tmssl.akamaized.net//images/logo/header/tr1.png?lm=1723019495,Türkiye,19 teams,563,262,€2.04m,26.5,Victor Osimhen,€1.15bn
23,23,Hakim Ziyech,70,80.0,"AMR, AMC",0,65,60,60,0,0,0,0,80,0,0,0,80,0,0,0,0,65,85,65,65,50,50,60,85,55,60,30,60,85,60,65,80,60,50,75,55,70,40,80,65,85,70,70,70,50,50,70,35,30,30,tr1,1,Hakim Ziyech,Galatasaray,Süper Lig,22,Right Winger,"Mar 19, 1993",31,https://tmssl.akamaized.net//images/flagge/verysmall/107.png?lm=1520611569,"1,80m",left,"Jun 30, 2025",€7.00m,https://img.a.transfermarkt.technology/portrait/medium/217111-1701255091.png?lm=1,Süper Lig,tr1,Galatasaray,/galatasaray-istanbul/startseite/verein/141/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/141.png?lm=1406739071,28,26.7,16,€9.36m,€262.05m,Süper Lig,https://tmssl.akamaized.net//images/logo/header/tr1.png?lm=1723019495,Türkiye,19 teams,563,262,€2.04m,26.5,Victor Osimhen,€1.15bn
24,24,Yusuf Demir,55,,AMC,0,50,55,50,0,0,0,0,70,0,0,0,65,0,0,0,0,35,50,55,50,55,50,70,75,25,60,30,50,65,45,70,75,60,40,60,60,55,35,60,40,80,60,45,75,50,35,60,25,25,30,tr1,1,Yusuf Demir,Galatasaray,Süper Lig,30,Right Winger,"Jun 2, 2003",21,https://tmssl.akamaized.net//images/flagge/verysmall/127.png?lm=1520611569,"1,73m",left,"Jun 30, 2026",€2.50m,https://img.a.transfermarkt.technology/portrait/medium/548031-1671104592.png?lm=1,Süper Lig,tr1,Galatasaray,/galatasaray-istanbul/startseite/verein/141/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/141.png?lm=1406739071,28,26.7,16,€9.36m,€262.05m,Süper Lig,https://tmssl.akamaized.net//images/logo/header/tr1.png?lm=1723019495,Türkiye,19 teams,563,262,€2.04m,26.5,Victor Osimhen,€1.15bn
25,25,Dries Mertens,65,83.0,"AMC, ST",0,75,50,55,0,0,0,0,85,0,0,0,70,0,0,0,0,70,85,65,75,65,80,85,75,80,75,45,80,75,70,60,75,60,30,75,40,40,35,65,80,85,65,65,65,55,35,65,15,20,30,tr1,1,Dries Mertens,Galatasaray,Süper Lig,10,Second Striker,"May 6, 1987",37,https://tmssl.akamaized.net//images/flagge/verysmall/19.png?lm=1520611569,"1,69m",right,"Jun 30, 2025",€1.80m,https://img.a.transfermarkt.technology/portrait/medium/56416-1671109411.png?lm=1,Süper Lig,tr1,Galatasaray,/galatasaray-istanbul/startseite/verein/141/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/141.png?lm=1406739071,28,26.7,16,€9.36m,€262.05m,Süper Lig,https://tmssl.akamaized.net//images/logo/header/tr1.png?lm=1723019495,Türkiye,19 teams,563,262,€2.04m,26.5,Victor Osimhen,€1.15bn
26,26,Victor Osimhen,85,88.0,ST,0,65,80,50,0,0,0,0,70,0,0,0,60,0,0,0,0,75,75,55,75,65,65,75,70,50,95,25,60,55,65,85,75,80,75,75,95,65,75,25,70,70,20,35,65,90,90,60,20,20,35,tr1,1,Victor Osimhen,Galatasaray,Süper Lig,45,Centre-Forward,"Dec 29, 1998",25,https://tmssl.akamaized.net//images/flagge/verysmall/124.png?lm=1520611569,"1,86m",right,"Jun 30, 2025",€75.00m,https://img.a.transfermarkt.technology/portrait/medium/401923-1725459265.png?lm=1,Süper Lig,tr1,Galatasaray,/galatasaray-istanbul/startseite/verein/141/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/141.png?lm=1406739071,28,26.7,16,€9.36m,€262.05m,Süper Lig,https://tmssl.akamaized.net//images/logo/header/tr1.png?lm=1723019495,Türkiye,19 teams,563,262,€2.04m,26.5,Victor Osimhen,€1.15bn
27,27,Mauro Icardi,78,87.0,ST,0,70,65,55,0,0,0,0,75,0,0,0,70,0,0,0,0,50,90,60,90,60,75,70,80,60,85,35,65,70,55,55,60,70,60,70,55,65,65,40,85,70,20,50,60,90,95,55,10,25,25,tr1,1,Mauro Icardi,Galatasaray,Süper Lig,9,Centre-Forward,"Feb 19, 1993",31,https://tmssl.akamaized.net//images/flagge/verysmall/9.png?lm=1520611569,"1,81m",right,"Jun 30, 2026",€15.00m,https://img.a.transfermarkt.technology/portrait/medium/68863-1671105169.png?lm=1,Süper Lig,tr1,Galatasaray,/galatasaray-istanbul/startseite/verein/141/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/141.png?lm=1406739071,28,26.7,16,€9.36m,€262.05m,Süper Lig,https://tmssl.akamaized.net//images/logo/header/tr1.png?lm=1723019495,Türkiye,19 teams,563,262,€2.04m,26.5,Victor Osimhen,€1.15bn
28,28,Michy Batshuayi,65,80.0,ST,0,55,65,50,0,0,0,0,80,0,0,0,55,0,0,0,0,75,65,65,75,35,40,60,50,50,75,25,65,40,65,65,70,70,55,80,45,65,70,45,70,70,25,35,60,75,55,60,40,15,15,tr1,1,Michy Batshuayi,Galatasaray,Süper Lig,44,Centre-Forward,"Oct 2, 1993",31,https://tmssl.akamaized.net//images/flagge/verysmall/19.png?lm=1520611569,"1,85m",right,"Jun 30, 2027",€8.00m,https://img.a.transfermarkt.technology/portrait/medium/179184-1696447598.png?lm=1,Süper Lig,tr1,Galatasaray,/galatasaray-istanbul/startseite/verein/141/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/141.png?lm=1406739071,28,26.7,16,€9.36m,€262.05m,Süper Lig,https://tmssl.akamaized.net//images/logo/header/tr1.png?lm=1723019495,Türkiye,19 teams,563,262,€2.04m,26.5,Victor Osimhen,€1.15bn
