footballer_id,league_id,team_id,footballer_name,club,league_name,trikot_num,position,birthday,age,nationality_img_path,height,feet,contract,market_value,footballer_img_path
23,tr1,1,Hakim Ziyech,Galatasaray,Süper Lig,22,Right Winger,"Mar 19, 1993",31,https://tmssl.akamaized.net//images/flagge/verysmall/107.png?lm=1520611569,"1,80m",left,"Jun 30, 2025",€7.00m,https://img.a.transfermarkt.technology/portrait/medium/217111-1701255091.png?lm=1
24,tr1,1,Yusuf Demir,Galatasaray,Süper Lig,30,Right Winger,"Jun 2, 2003",21,https://tmssl.akamaized.net//images/flagge/verysmall/127.png?lm=1520611569,"1,73m",left,"Jun 30, 2026",€2.50m,https://img.a.transfermarkt.technology/portrait/medium/548031-1671104592.png?lm=1
25,tr1,1,Dries Mertens,Galatasaray,Süper Lig,10,Second Striker,"May 6, 1987",37,https://tmssl.akamaized.net//images/flagge/verysmall/19.png?lm=1520611569,"1,69m",right,"Jun 30, 2025",€1.80m,https://img.a.transfermarkt.technology/portrait/medium/56416-1671109411.png?lm=1
26,tr1,1,Victor Osimhen,Galatasaray,Süper Lig,45,Centre-Forward,"Dec 29, 1998",25,https://tmssl.akamaized.net//images/flagge/verysmall/124.png?lm=1520611569,"1,86m",right,"Jun 30, 2025",€75.00m,https://img.a.transfermarkt.technology/portrait/medium/401923-1725459265.png?lm=1
27,tr1,1,Mauro Icardi,Galatasaray,Süper Lig,9,Centre-Forward,"Feb 19, 1993",31,https://tmssl.akamaized.net//images/flagge/verysmall/9.png?lm=1520611569,"1,81m",right,"Jun 30, 2026",€15.00m,https://img.a.transfermarkt.technology/portrait/medium/68863-1671105169.png?lm=1
28,tr1,1,Michy Batshuayi,Galatasaray,Süper Lig,44,Centre-Forward,"Oct 2, 1993",31,https://tmssl.akamaized.net//images/flagge/verysmall/19.png?lm=1520611569,"1,85m",right,"Jun 30, 2027",€8.00m,https://img.a.transfermarkt.technology/portrait/medium/179184-1696447598.png?lm=1
29,tr1,2,Dominik Livakovic,Fenerbahce,Süper Lig,40,Goalkeeper,"Jan 9, 1995",29,https://tmssl.akamaized.net//images/flagge/verysmall/37.png?lm=1520611569,"1,88m",right,"Jun 30, 2028",€11.00m,https://img.a.transfermarkt.technology/portrait/medium/205927-1728392573.JPG?lm=1
30,tr1,2,İrfan Can Eğribayat,Fenerbahce,Süper Lig,30,Goalkeeper,"Jun 30, 1998",26,https://tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1520611569,"1,93m",right,"Jun 30, 2027",€1.20m,https://img.a.transfermarkt.technology/portrait/medium/322873-1728392495.JPG?lm=1
31,tr1,2,Ertuğrul Çetin,Fenerbahce,Süper Lig,54,Goalkeeper,"Apr 21, 2003",21,https://tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1520611569,"1,88m",right,"Jun 30, 2025",€500k,https://img.a.transfermarkt.technology/portrait/medium/654049-1728392708.JPG?lm=1
32,tr1,2,Çağlar Söyüncü,Fenerbahce,Süper Lig,4,Centre-Back,"May 23, 1996",28,https://tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1520611569,"1,85m",both,"Jun 30, 2027",€9.00m,https://img.a.transfermarkt.technology/portrait/medium/320141-1728391611.JPG?lm=1
33,tr1,2,Alexander Djiku,Fenerbahce,Süper Lig,6,Centre-Back,"Aug 9, 1994",30,https://tmssl.akamaized.net//images/flagge/verysmall/54.png?lm=1520611569,"1,82m",right,"Jun 30, 2026",€9.00m,https://img.a.transfermarkt.technology/portrait/medium/250844-1728391726.JPG?lm=1
34,tr1,2,Rodrigo Becão,Fenerbahce,Süper Lig,50,Centre-Back,"Jan 19, 1996",28,https://tmssl.akamaized.net//images/flagge/verysmall/26.png?lm=1520611569,"1,91m",right,"Jun 30, 2028",€8.00m,https://img.a.transfermarkt.technology/portrait/medium/410158-1728392628.JPG?lm=1
35,tr1,2,Samet Akaydin,Fenerbahce,Süper Lig,3,Centre-Back,"Mar 13, 1994",30,https://tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1520611569,"1,90m",right,"Jun 30, 2026",€2.20m,https://img.a.transfermarkt.technology/portrait/medium/295024-1728391580.JPG?lm=1
36,tr1,2,Serdar Aziz,Fenerbahce,Süper Lig,-,Centre-Back,"Oct 23, 1990",34,https://tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1520611569,"1,83m",right,"Jun 30, 2025",€350k,https://img.a.transfermarkt.technology/portrait/medium/44996-1696446267.png?lm=1
37,tr1,2,Jayden Oosterwolde,Fenerbahce,Süper Lig,24,Left-Back,"Apr 26, 2001",23,https://tmssl.akamaized.net//images/flagge/verysmall/122.png?lm=1520611569,"1,89m",left,"Jun 30, 2027",€15.00m,https://img.a.transfermarkt.technology/portrait/medium/591361-1728392223.JPG?lm=1
38,tr1,2,Filip Kostić,Fenerbahce,Süper Lig,18,Left-Back,"Nov 1, 1992",32,https://tmssl.akamaized.net//images/flagge/verysmall/215.png?lm=1520611569,"1,84m",left,"Jun 30, 2025",€6.50m,https://img.a.transfermarkt.technology/portrait/medium/161011-1728391991.JPG?lm=1
39,tr1,2,Levent Mercan,Fenerbahce,Süper Lig,22,Left-Back,"Dec 10, 2000",23,https://tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1520611569,"1,76m",left,"Jun 30, 2028",€2.60m,https://img.a.transfermarkt.technology/portrait/medium/388820-1695219229.png?lm=1
40,tr1,2,Bright Osayi-Samuel,Fenerbahce,Süper Lig,21,Right-Back,"Dec 31, 1997",26,https://tmssl.akamaized.net//images/flagge/verysmall/124.png?lm=1520611569,"1,75m",right,"Jun 30, 2025",€8.00m,https://img.a.transfermarkt.technology/portrait/medium/358948-1728392103.JPG?lm=1
41,tr1,2,Mert Müldür,Fenerbahce,Süper Lig,16,Right-Back,"Apr 3, 1999",25,https://tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1520611569,"1,84m",right,"Jun 30, 2027",€7.00m,https://img.a.transfermarkt.technology/portrait/medium/353922-1728391929.JPG?lm=1
42,tr1,2,Sofyan Amrabat,Fenerbahce,Süper Lig,34,Defensive Midfield,"Aug 21, 1996",28,https://tmssl.akamaized.net//images/flagge/verysmall/107.png?lm=1520611569,"1,85m",right,"Jun 30, 2025",€22.00m,https://img.a.transfermarkt.technology/portrait/medium/287579-1728392547.jpg?lm=1
43,tr1,2,İsmail Yüksek,Fenerbahce,Süper Lig,5,Defensive Midfield,"Jan 26, 1999",25,https://tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1520611569,"1,83m",right,"Jun 30, 2027",€14.00m,https://img.a.transfermarkt.technology/portrait/medium/613725-1728391640.JPG?lm=1
44,tr1,2,Bartuğ Elmaz,Fenerbahce,Süper Lig,28,Defensive Midfield,"Feb 19, 2003",21,https://tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1520611569,"1,79m",right,"Jun 30, 2026",€1.50m,https://img.a.transfermarkt.technology/portrait/medium/655895-1728392470.JPG?lm=1
45,tr1,2,Fred,Fenerbahce,Süper Lig,13,Central Midfield,"Mar 5, 1993",31,https://tmssl.akamaized.net//images/flagge/verysmall/26.png?lm=1520611569,"1,69m",both,"Jun 30, 2027",€15.00m,https://img.a.transfermarkt.technology/portrait/medium/191614-1728391871.JPG?lm=1
46,tr1,2,Sebastian Szymański,Fenerbahce,Süper Lig,53,Attacking Midfield,"May 10, 1999",25,https://tmssl.akamaized.net//images/flagge/verysmall/135.png?lm=1520611569,"1,74m",left,"Jun 30, 2027",€19.00m,https://img.a.transfermarkt.technology/portrait/medium/320748-1728392667.JPG?lm=1
47,tr1,2,Mert Hakan Yandaş,Fenerbahce,Süper Lig,8,Attacking Midfield,"Aug 19, 1994",30,https://tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1520611569,"1,74m",right,"Jun 30, 2026",€1.10m,https://img.a.transfermarkt.technology/portrait/medium/306462-1728391751.JPG?lm=1
48,tr1,2,Allan Saint-Maximin,Fenerbahce,Süper Lig,97,Left Winger,"Mar 12, 1997",27,https://tmssl.akamaized.net//images/flagge/verysmall/50.png?lm=1520611569,"1,73m",right,"Jun 30, 2025",€18.00m,https://img.a.transfermarkt.technology/portrait/medium/272642-1728392760.JPG?lm=1
49,tr1,2,Oğuz Aydın,Fenerbahce,Süper Lig,70,Left Winger,"Oct 27, 2000",24,https://tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1520611569,"1,83m",right,"Jun 30, 2028",€5.50m,https://img.a.transfermarkt.technology/portrait/medium/563749-1728392736.JPG?lm=1
50,tr1,2,İrfan Can Kahveci,Fenerbahce,Süper Lig,17,Right Winger,"Jul 15, 1995",29,https://tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1520611569,"1,80m",left,"Jun 30, 2025",€10.00m,https://img.a.transfermarkt.technology/portrait/medium/216603-1728391961.JPG?lm=1
51,tr1,2,Cengiz Ünder,Fenerbahce,Süper Lig,20,Right Winger,"Jul 14, 1997",27,https://tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1520611569,"1,73m",left,"Jun 30, 2027",€10.00m,https://img.a.transfermarkt.technology/portrait/medium/341647-1728392057.JPG?lm=1
52,tr1,2,Dusan Tadic,Fenerbahce,Süper Lig,10,Right Winger,"Nov 20, 1988",36,https://tmssl.akamaized.net//images/flagge/verysmall/215.png?lm=1520611569,"1,81m",left,"Jun 30, 2025",€3.20m,https://img.a.transfermarkt.technology/portrait/medium/36139-1728391824.JPG?lm=1
53,tr1,2,Burak Kapacak,Fenerbahce,Süper Lig,-,Right Winger,"Dec 8, 1999",24,https://tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1520611569,"1,80m",right,"Jun 30, 2026",€275k,https://img.a.transfermarkt.technology/portrait/medium/340251-1706883569.png?lm=1
54,tr1,2,Youssef En-Nesyri,Fenerbahce,Süper Lig,19,Centre-Forward,"Jun 1, 1997",27,https://tmssl.akamaized.net//images/flagge/verysmall/107.png?lm=1520611569,"1,88m",left,"Jun 30, 2029",€22.00m,https://img.a.transfermarkt.technology/portrait/medium/433049-1728392433.JPG?lm=1
55,tr1,2,Edin Dzeko,Fenerbahce,Süper Lig,9,Centre-Forward,"Mar 17, 1986",38,https://tmssl.akamaized.net//images/flagge/verysmall/24.png?lm=1569523290,"1,93m",right,"Jun 30, 2025",€2.50m,https://img.a.transfermarkt.technology/portrait/medium/28396-1728391796.JPG?lm=1
56,tr1,2,Cenk Tosun,Fenerbahce,Süper Lig,23,Centre-Forward,"Jun 7, 1991",33,https://tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1520611569,"1,83m",right,"Jun 30, 2026",€1.70m,https://img.a.transfermarkt.technology/portrait/medium/45671-1728392200.JPG?lm=1
57,tr1,3,Ersin Destanoğlu,Besiktas JK,Süper Lig,30,Goalkeeper,"Jan 1, 2001",23,https://tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1520611569,"1,95m",right,"Jun 30, 2026",€2.00m,https://img.a.transfermarkt.technology/portrait/medium/500091-1727354578.png?lm=1
58,tr1,3,Mert Günok,Besiktas JK,Süper Lig,34,Goalkeeper,"Mar 1, 1989",35,https://tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1520611569,"1,96m",right,"Jun 30, 2025",€1.20m,https://img.a.transfermarkt.technology/portrait/medium/51894-1727355668.png?lm=1
59,tr1,3,Emir Yaşar,Besiktas JK,Süper Lig,96,Goalkeeper,"Jan 16, 2006",18,https://tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1520611569,"1,90m",right,"Jun 30, 2028",€175k,https://img.a.transfermarkt.technology/portrait/medium/935552-1727357788.png?lm=1
60,tr1,3,Göktuğ Baytekin,Besiktas JK,Süper Lig,94,Goalkeeper,"Nov 20, 2004",20,https://tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1520611569,"1,86m",right,"Jun 30, 2027",€50k,https://img.a.transfermarkt.technology/portrait/medium/875333-1727354437.png?lm=1
61,tr1,3,Felix Uduokhai,Besiktas JK,Süper Lig,14,Centre-Back,"Sep 9, 1997",27,https://tmssl.akamaized.net//images/flagge/verysmall/40.png?lm=1520612525,"1,93m",left,"Jun 30, 2025",€8.50m,https://img.a.transfermarkt.technology/portrait/medium/278343-1727357502.png?lm=1
62,tr1,3,Emirhan Topçu,Besiktas JK,Süper Lig,53,Centre-Back,"Oct 11, 2000",24,https://tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1520611569,"1,88m",left,"Jun 30, 2028",€5.00m,https://img.a.transfermarkt.technology/portrait/medium/531332-1727357464.png?lm=1
63,tr1,3,Tayyip Talha Sanuç,Besiktas JK,Süper Lig,5,Centre-Back,"Dec 17, 1999",24,https://tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1520611569,"1,88m",right,"Jun 30, 2027",€2.80m,https://img.a.transfermarkt.technology/portrait/medium/462772-1666279231.png?lm=1
64,tr1,3,Gabriel Paulista,Besiktas JK,Süper Lig,3,Centre-Back,"Nov 26, 1990",34,https://tmssl.akamaized.net//images/flagge/verysmall/26.png?lm=1520611569,"1,85m",right,"Jun 30, 2027",€2.00m,https://img.a.transfermarkt.technology/portrait/medium/149498-1727355000.png?lm=1
65,tr1,3,Necip Uysal,Besiktas JK,Süper Lig,20,Centre-Back,"Jan 24, 1991",33,https://tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1520611569,"1,80m",right,"Jun 30, 2025",€650k,https://img.a.transfermarkt.technology/portrait/medium/77710-1727357566.png?lm=1
66,tr1,3,Arthur Masuaku,Besiktas JK,Süper Lig,26,Left-Back,"Nov 7, 1993",31,https://tmssl.akamaized.net//images/flagge/verysmall/193.png?lm=1520611569,"1,79m",left,"Jun 30, 2025",€4.00m,https://img.a.transfermarkt.technology/portrait/medium/181380-1696075631.png?lm=1
67,tr1,3,Emrecan Terzi,Besiktas JK,Süper Lig,79,Left-Back,"Jan 5, 2004",20,https://tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1520611569,"1,77m",left,"Jun 30, 2027",€300k,https://img.a.transfermarkt.technology/portrait/medium/873445-1727356934.png?lm=1
68,tr1,3,Jonas Svensson,Besiktas JK,Süper Lig,2,Right-Back,"Mar 6, 1993",31,https://tmssl.akamaized.net//images/flagge/verysmall/125.png?lm=1520611569,"1,70m",right,"Jun 30, 2025",€1.80m,https://img.a.transfermarkt.technology/portrait/medium/136184-1727356799.png?lm=1
69,tr1,3,Onur Bulut,Besiktas JK,Süper Lig,4,Right-Back,"Apr 16, 1994",30,https://tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1520611569,"1,79m",right,"Jun 30, 2026",€1.70m,https://img.a.transfermarkt.technology/portrait/medium/152733-1727354470.png?lm=1
70,tr1,3,Moatasem Al-Musrati,Besiktas JK,Süper Lig,6,Defensive Midfield,"Apr 6, 1996",28,https://tmssl.akamaized.net//images/flagge/verysmall/96.png?lm=1520611569,"1,89m",right,"Jun 30, 2027",€13.00m,https://img.a.transfermarkt.technology/portrait/medium/377641-1727354394.png?lm=1
71,tr1,3,Jean Onana,Besiktas JK,Süper Lig,71,Defensive Midfield,"Jan 8, 2000",24,https://tmssl.akamaized.net//images/flagge/verysmall/31.png?lm=1520611569,"1,89m",right,"Jun 30, 2027",€3.70m,https://img.a.transfermarkt.technology/portrait/medium/656441-1727356174.png?lm=1
72,tr1,3,Gedson Fernandes,Besiktas JK,Süper Lig,83,Central Midfield,"Jan 9, 1999",25,https://tmssl.akamaized.net//images/flagge/verysmall/136.png?lm=1520611569,"1,83m",right,"Jun 30, 2027",€17.00m,https://img.a.transfermarkt.technology/portrait/medium/337800-1727354898.png?lm=1
73,tr1,3,Cher Ndour,Besiktas JK,Süper Lig,73,Central Midfield,"Jul 27, 2004",20,https://tmssl.akamaized.net//images/flagge/verysmall/75.png?lm=1520611569,"1,90m",both,"Jun 30, 2025",€4.00m,https://img.a.transfermarkt.technology/portrait/medium/651005-1727356126.png?lm=1
74,tr1,3,João Mário,Besiktas JK,Süper Lig,18,Central Midfield,"Jan 19, 1993",31,https://tmssl.akamaized.net//images/flagge/verysmall/136.png?lm=1520611569,"1,79m",right,"Jun 30, 2025",€3.80m,https://img.a.transfermarkt.technology/portrait/medium/149729-1727355794.png?lm=1
75,tr1,3,Salih Uçan,Besiktas JK,Süper Lig,8,Central Midfield,"Jan 6, 1994",30,https://tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1520611569,"1,82m",right,"Jun 30, 2026",€3.60m,https://img.a.transfermarkt.technology/portrait/medium/170838-1727357729.png?lm=1
76,tr1,3,Alex Oxlade-Chamberlain,Besiktas JK,Süper Lig,15,Central Midfield,"Aug 15, 1993",31,https://tmssl.akamaized.net//images/flagge/verysmall/189.png?lm=1520611569,"1,80m",right,"Jun 30, 2026",€3.00m,https://img.a.transfermarkt.technology/portrait/medium/143424-1727356614.png?lm=1
77,tr1,3,Fahri Ay,Besiktas JK,Süper Lig,44,Central Midfield,"Jan 1, 2005",19,https://tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1520611569,"1,78m",left,"Jun 30, 2028",€125k,https://img.a.transfermarkt.technology/portrait/medium/983817-1727353167.png?lm=1
78,tr1,3,Bakhtiyor Zaynutdinov,Besiktas JK,Süper Lig,22,Attacking Midfield,"Apr 2, 1998",26,https://tmssl.akamaized.net//images/flagge/verysmall/81.png?lm=1520611569,"1,83m",left,"Jun 30, 2027",€4.00m,https://img.a.transfermarkt.technology/portrait/medium/344299-1727357861.png?lm=1
79,tr1,3,Semih Kılıçsoy,Besiktas JK,Süper Lig,9,Left Winger,"Aug 15, 2005",19,https://tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1520611569,"1,78m",right,"Jun 30, 2028",€15.00m,https://img.a.transfermarkt.technology/portrait/medium/875334-1727355952.png?lm=1
80,tr1,3,Ernest Muci,Besiktas JK,Süper Lig,23,Left Winger,"Mar 19, 2001",23,https://tmssl.akamaized.net//images/flagge/verysmall/3.png?lm=1520611569,"1,80m",both,"Jun 30, 2027",€12.00m,https://img.a.transfermarkt.technology/portrait/medium/583917-1727356057.png?lm=1
81,tr1,3,Arda Kılıç,Besiktas JK,Süper Lig,19,Left Winger,"Jan 4, 2005",19,https://tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1520611569,"1,79m",right,"Jun 30, 2028",€75k,https://img.a.transfermarkt.technology/portrait/medium/935550-1727355883.png?lm=1
82,tr1,3,Milot Rashica,Besiktas JK,Süper Lig,7,Right Winger,"Jun 28, 1996",28,https://tmssl.akamaized.net//images/flagge/verysmall/244.png?lm=1520611569,"1,78m",right,"Jun 30, 2027",€8.00m,https://img.a.transfermarkt.technology/portrait/medium/291739-1727356752.png?lm=1
83,tr1,3,Can Keleş,Besiktas JK,Süper Lig,77,Right Winger,"Sep 2, 2001",23,https://tmssl.akamaized.net//images/flagge/verysmall/127.png?lm=1520611569,"1,80m",left,"Jun 30, 2028",€2.20m,https://img.a.transfermarkt.technology/portrait/medium/451642-1727355834.png?lm=1
84,tr1,3,Rafa,Besiktas JK,Süper Lig,27,Second Striker,"May 17, 1993",31,https://tmssl.akamaized.net//images/flagge/verysmall/136.png?lm=1520611569,"1,72m",right,"Jun 30, 2027",€14.00m,https://img.a.transfermarkt.technology/portrait/medium/238055-1727356372.png?lm=1
85,tr1,3,Ciro Immobile,Besiktas JK,Süper Lig,17,Centre-Forward,"Feb 20, 1990",34,https://tmssl.akamaized.net//images/flagge/verysmall/75.png?lm=1520611569,"1,85m",right,"Jun 30, 2026",€3.80m,https://img.a.transfermarkt.technology/portrait/medium/105521-1727355739.png?lm=1
86,tr1,3,Mustafa Hekimoğlu,Besiktas JK,Süper Lig,91,Centre-Forward,"Apr 22, 2007",17,https://tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1520611569,"1,86m",right,"Jun 30, 2027",€2.00m,https://img.a.transfermarkt.technology/portrait/medium/1071252-1727355701.png?lm=1
87,tr1,4,Uğurcan Çakır,Trabzonspor,Süper Lig,1,Goalkeeper,"Apr 5, 1996",28,https://tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1520611569,"1,91m",right,"Jun 30, 2027",€8.50m,https://img.a.transfermarkt.technology/portrait/medium/292199-1723802510.jpg?lm=1
88,tr1,4,Onuralp Çevikkan,Trabzonspor,Süper Lig,25,Goalkeeper,"Jan 2, 2006",18,https://tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1520611569,"1,92m",right,"Jun 30, 2028",€1.50m,https://img.a.transfermarkt.technology/portrait/medium/1054214-1723801960.jpg?lm=1
89,tr1,4,Taha Tepe,Trabzonspor,Süper Lig,54,Goalkeeper,"Jan 1, 2001",23,https://tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1520611569,"1,86m",right,"Jun 30, 2027",€150k,https://img.a.transfermarkt.technology/portrait/medium/477924-1723801756.jpg?lm=1
